"http://en.wikipedia.org/wiki/Alexander_Fleming_Laboratory_Museum","Alexander Fleming Laboratory Museum"
"http://en.wikipedia.org/wiki/All_Hallows-by-the-Tower","All Hallows-by-the-Tower"
"http://en.wikipedia.org/wiki/London_amora","London amora"
"http://en.wikipedia.org/wiki/Anaesthesia_Heritage_Centre","Anaesthesia Heritage Centre"
"http://en.wikipedia.org/wiki/Apsley_House","Apsley House"
"http://en.wikipedia.org/wiki/Arsenal_Football_Club_Museum","Arsenal Football Club Museum"
"http://en.wikipedia.org/wiki/Baden-Powell_House_Exhibition","Baden-Powell House Exhibition"
"http://en.wikipedia.org/wiki/Bank_of_England_Museum","Bank of England Museum"
"http://en.wikipedia.org/wiki/Banqueting_House","Banqueting House"
"http://en.wikipedia.org/wiki/Barbican_Art_Gallery","Barbican Art Gallery"
"http://en.wikipedia.org/wiki/Barnet_Museum","Barnet Museum"
"http://en.wikipedia.org/wiki/Benjamin_Franklin_House","Benjamin Franklin House"
"http://en.wikipedia.org/wiki/Ben_Uri_Gallery,_The_London_Jewish_Museum_of_Art","Ben Uri Gallery, The London Jewish Museum of Art"
"http://en.wikipedia.org/wiki/Bethlem_Royal_Hospital_Archives_and_Museum","Bethlem Royal Hospital Archives and Museum"
"http://en.wikipedia.org/wiki/Boston_Manor_House","Boston Manor House"
"http://en.wikipedia.org/wiki/Bramah_Tea_and_Coffee_Museum","Bramah Tea and Coffee Museum"
"http://en.wikipedia.org/wiki/British_Dental_Association_Museum","British Dental Association Museum"
"http://en.wikipedia.org/wiki/British_Library","British Library"
"http://en.wikipedia.org/wiki/British_Museum","British Museum"
"http://en.wikipedia.org/wiki/British_Music_Experience","British Music Experience"
"http://en.wikipedia.org/wiki/British_Optical_Association_Museum","British Optical Association Museum"
"http://en.wikipedia.org/wiki/British_Postal_Museum_and_Archive","British Postal Museum and Archive"
"http://en.wikipedia.org/wiki/Bruce_Castle","Bruce Castle"
"http://en.wikipedia.org/wiki/Brunei_Gallery,_School_of_Oriental_and_African_Studies","Brunei Gallery, School of Oriental and African Studies"
"http://en.wikipedia.org/wiki/Brunel_Engine_House","Brunel Engine House"
"http://en.wikipedia.org/wiki/BT_Archives","BT Archives"
"http://en.wikipedia.org/wiki/Buckingham_Palace","Buckingham Palace"
"http://en.wikipedia.org/wiki/Canada_House_Gallery","Canada House Gallery"
"http://en.wikipedia.org/wiki/Carlyle%27s_House","Carlyle's House"
"http://en.wikipedia.org/wiki/The_Cartoon_Museum","The Cartoon Museum"
"http://en.wikipedia.org/wiki/Centre_for_Recent_Drawing","Centre for Recent Drawing"
"http://en.wikipedia.org/wiki/Charles_Dickens_Museum,_London","Charles Dickens Museum, London"
"http://en.wikipedia.org/wiki/Chartered_Insurance_Institute_Museum","Chartered Insurance Institute Museum"
"http://en.wikipedia.org/wiki/Chelsea_Physic_Garden","Chelsea Physic Garden"
"http://en.wikipedia.org/wiki/Chiswick_House","Chiswick House"
"http://en.wikipedia.org/wiki/Churchill_Museum_and_Cabinet_War_Rooms","Churchill Museum and Cabinet War Rooms"
"http://en.wikipedia.org/wiki/Clarence_House","Clarence House"
"http://en.wikipedia.org/wiki/Clink_Prison_Museum","Clink Prison Museum"
"http://en.wikipedia.org/wiki/Clockmakers%27_Museum","Clockmakers' Museum"
"http://en.wikipedia.org/wiki/College_of_Arms","College of Arms"
"http://en.wikipedia.org/wiki/Couper_Collection","Couper Collection"
"http://en.wikipedia.org/wiki/Courtauld_Institute_of_Art","Courtauld Institute of Art"
"http://en.wikipedia.org/wiki/Crofton_Roman_Villa","Crofton Roman Villa"
"http://en.wikipedia.org/wiki/Crossness_Pumping_Station","Crossness Pumping Station"
"http://en.wikipedia.org/wiki/Crown_Jewels_of_the_United_Kingdom","Crown Jewels of the United Kingdom"
"http://en.wikipedia.org/wiki/Croydon_Lifetimes_Museum","Croydon Lifetimes Museum"
"http://en.wikipedia.org/wiki/Cuming_Museum","Cuming Museum"
"http://en.wikipedia.org/wiki/Cutty_Sark_Museum","Cutty Sark Museum"
"http://en.wikipedia.org/wiki/Dali_Universe","Dali Universe"
"http://en.wikipedia.org/wiki/Danson_House","Danson House"
"http://en.wikipedia.org/wiki/De_Morgan_Centre","De Morgan Centre"
"http://en.wikipedia.org/wiki/Dennis_Severs%27_House","Dennis Severs' House"
"http://en.wikipedia.org/wiki/Design_Museum","Design Museum"
"http://en.wikipedia.org/wiki/Dr_Johnson%27s_House","Dr Johnson's House"
"http://en.wikipedia.org/wiki/Worshipful_Company_of_Drapers","Worshipful Company of Drapers"
